OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,193715,240490,164287,130593,93168
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,161826,261954,175374,134897,104828
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,226108,275216,185938,153582,105636
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,193904,241989,163438,133688,84904
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,230912,326865,208787,168687,112865
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,181586,240491,154513,125585,94440
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,195862,259635,172725,139738,100720
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,162370,224091,139014,111526,81937
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,189220,234884,160444,127648,91009
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,162480,263020,176038,135461,105273
